463458:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5157245      715097392  [B (java.base@17.0.15)
   2:       2554218      378591784  [I (java.base@17.0.15)
   3:       3981491      341193080  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3733462      179206176  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4503733      144119456  java.util.HashMap$Node (java.base@17.0.15)
   6:       4731913      113565912  java.lang.String (java.base@17.0.15)
   7:       2008255       96396240  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3139693       75352632  java.util.ArrayList (java.base@17.0.15)
   9:        605158       62936432  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        622188       59730048  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        861437       55131968  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        264260       49815024  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1011976       48574848  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        989793       47510064  java.util.HashMap (java.base@17.0.15)
  15:       1252427       40077664  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:       1101844       26444256  org.joml.Vector3f (org.joml@1.10.5)
  17:        532647       25567056  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  18:        605914       24236560  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  19:        821336       19712064  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  20:        820246       19685904  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  21:        609531       19504992  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:         55601       19459008  [J (java.base@17.0.15)
  23:        786573       18877752  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  24:        417422       16696880  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  25:        686475       16475400  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  26:        137110       15958384  java.lang.Class (java.base@17.0.15)
  27:        321034       15409632  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  28:          1599       15380000  [C (java.base@17.0.15)
  29:        878645       14058320  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        225323       12618088  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        200995       11255720  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        279040       11161600  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        261348       10453920  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        622187        9954992  net.minecraft.world.item.ItemStack$$Lambda$2525/0x0000000800d88b90 (minecraft@1.20.1)
  36:        619409        9910544  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  37:        200994        9647712  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        291280        9320960  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        174634        9071992  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  40:        159670        8941520  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  41:        279041        8929312  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  42:        154575        8656200  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  43:        342475        8219400  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  44:        203485        8111544  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  45:        163941        7869168  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  46:        318137        7635288  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  47:        205334        6570688  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  48:         96945        6511504  [D (java.base@17.0.15)
  49:        259307        6223368  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  50:        148388        5935520  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  51:        103976        5822656  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  52:        101512        5684672  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  53:        139759        5590360  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  54:        228098        5474352  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  55:        206248        4949952  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  56:        140925        4943464  [F (java.base@17.0.15)
  57:        205334        4928016  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  58:        102659        4927632  java.lang.invoke.MemberName (java.base@17.0.15)
