466979:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5533334      781585616  [B (java.base@17.0.15)
   2:       2560547      379414080  [I (java.base@17.0.15)
   3:       3990660      341804232  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3746066      179811168  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4518661      144597152  java.util.HashMap$Node (java.base@17.0.15)
   6:       4773951      114574824  java.lang.String (java.base@17.0.15)
   7:       2009068       96435264  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3148891       75573384  java.util.ArrayList (java.base@17.0.15)
   9:        607512       63181248  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        621435       59657760  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        861507       55136448  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265471       52484648  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1012246       48587808  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        991694       47601312  java.util.HashMap (java.base@17.0.15)
  15:       1257237       40231584  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        939504       37580160  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  17:        751034       30041360  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  18:       1104650       26511600  org.joml.Vector3f (org.joml@1.10.5)
  19:        547073       26259504  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  20:         60243       20212944  [J (java.base@17.0.15)
  21:        821336       19712064  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  22:        611848       19579136  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  23:        791046       18985104  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  24:        717524       17220576  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  25:        689373       16544952  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  26:        137767       16033056  java.lang.Class (java.base@17.0.15)
  27:        322010       15456480  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  28:          1602       15412856  [C (java.base@17.0.15)
  29:        878709       14059344  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        225888       12649728  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        201049       11258744  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        279072       11162880  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        262805       10512200  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        621434        9942944  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d8de18 (minecraft@1.20.1)
  36:        619050        9904800  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  37:        201048        9650304  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        293411        9389152  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        175205        9098056  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  40:        160224        8972544  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  41:        279073        8930336  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  42:        158495        8875720  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  43:        343223        8237352  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  44:        203539        8113704  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  45:        164510        7896480  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  46:        318129        7635096  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  47:        205334        6570688  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  48:         97511        6535368  [D (java.base@17.0.15)
  49:        260166        6243984  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  50:        148951        5958040  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  51:        244385        5865240  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  52:        104686        5862416  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  53:        143357        5734280  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  54:        102380        5733280  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  55:        228665        5487960  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  56:        144523        5058888  [F (java.base@17.0.15)
  57:        103229        4954992  java.lang.invoke.MemberName (java.base@17.0.15)
  58:        206240        4949760  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  59:        205334        4928016  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  60:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  61:        299887        4798192  java.util.concurrent.Semaphore (java.base@17.0.15)
  62:        114670        4586800  java.util.EnumMap (java.base@17.0.15)
  63:        113602        4544080  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  64:         19226        4501080  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  65:        279408        4470528  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  66:         59981        4318632  java.lang.reflect.Constructor (java.base@17.0.15)
  67:         49026        4314288  java.lang.reflect.Method (java.base@17.0.15)
  68:          2084        4284800  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  69:         76306        4273136  java.util.LinkedHashMap (java.base@17.0.15)
  70:        122859        4257360  [Ljava.util.Map$Entry; (java.base@17.0.15)
  71:         64781        4145984  java.lang.Class$ReflectionData (java.base@17.0.15)
  72:        128352        4107264  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  73:        254129        4066064  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  74:         98586        3943440  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
  75:         81003        3888144  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  76:        121483        3887456  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  77:         68414        3831184  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  78:        155592        3734208  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  79:         92177        3687080  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  80:         21345        3585960  com.github.alexthe666.citadel.client.model.AdvancedModelBox (citadel@2.6.3)
  81:         80573        3487256  [Lnet.minecraft.world.item.ItemStack; (minecraft@1.20.1)
  82:        143357        3440568  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
  83:        106333        3402656  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData (org.spongepowered.mixin)
  84:        105626        3380032  org.objectweb.asm.Type (org.objectweb.asm@9.8)
  85:        205789        3292624  net.minecraft.nbt.StringTag (minecraft@1.20.1)
  86:         68580        3291840  org.objectweb.asm.tree.LineNumberNode (org.objectweb.asm.tree@9.8)
  87:        202410        3238560  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  88:          5744        3170688  com.github.benmanes.caffeine.cache.MpscGrowableArrayQueue (com.github.benmanes.caffeine@3.2.1)
  89:           328        3141096  [Lnet.minecraft.world.level.block.state.BlockState; (minecraft@1.20.1)
  90:        128352        3080448  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$TexturedQuad (citadel@2.6.3)
  91:         76963        3078520  net.minecraft.world.item.crafting.Ingredient (minecraft@1.20.1)
  92:         75207        3008280  org.embeddedt.modernfix.forge.recipe.IngredientItemStacksSoftReference (modernfix@5.27.12+mc1.20.1)
  93:         88724        2839168  net.minecraft.client.renderer.block.model.Variant (minecraft@1.20.1)
  94:         69262        2770480  java.lang.ref.SoftReference (java.base@17.0.15)
  95:        122271        2754848  [Ljava.lang.String; (java.base@17.0.15)
  96:         34229        2738320  me.jellysquid.mods.sodium.client.render.immediate.model.ModelCuboid (embeddium@0.3.31+mc1.20.1)
