471957:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5203399      718986712  [B (java.base@17.0.15)
   2:       2548924      424224784  [I (java.base@17.0.15)
   3:       3987379      341858792  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3740678      179552544  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4513107      144419424  java.util.HashMap$Node (java.base@17.0.15)
   6:       4776407      114633768  java.lang.String (java.base@17.0.15)
   7:       2002358       96113184  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3149276       75582624  java.util.ArrayList (java.base@17.0.15)
   9:        606281       63053224  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        619950       59515200  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        861048       55107072  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265074       49907008  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1011641       48558768  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        989685       47504880  java.util.HashMap (java.base@17.0.15)
  15:        154013       46007096  [J (java.base@17.0.15)
  16:       1254709       40150688  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  17:       1104712       26513088  org.joml.Vector3f (org.joml@1.10.5)
  18:        545635       26190480  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  19:        607677       24307080  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  20:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:        610646       19540672  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        789514       18948336  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        418771       16750840  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  24:        693965       16655160  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  25:        687863       16508712  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  26:        137909       16049472  java.lang.Class (java.base@17.0.15)
  27:        321730       15443040  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  28:          1600       15367768  [C (java.base@17.0.15)
  29:        878240       14051840  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        224962       12597872  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        200928       11251968  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        279585       11183400  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
