476051:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5541094      782888768  [B (java.base@17.0.15)
   2:       2561563      410229944  [I (java.base@17.0.15)
   3:       3991538      342063664  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3746558      179834784  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4539544      145265408  java.util.HashMap$Node (java.base@17.0.15)
   6:       4781256      114750144  java.lang.String (java.base@17.0.15)
   7:       2009049       96434352  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3156701       75760824  java.util.ArrayList (java.base@17.0.15)
   9:        607506       63180624  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        622771       59786016  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        861122       55111808  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265416       52652736  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1012421       48596208  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        993386       47682528  java.util.HashMap (java.base@17.0.15)
  15:       1257229       40231328  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        939995       37599800  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  17:        751410       30056400  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  18:         93033       27421112  [J (java.base@17.0.15)
  19:       1104697       26512728  org.joml.Vector3f (org.joml@1.10.5)
  20:        546957       26253936  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  21:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  22:        611866       19579712  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  23:        791057       18985368  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  24:        689339       16544136  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  25:        137854       16043224  java.lang.Class (java.base@17.0.15)
  26:        322130       15462240  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  27:          1604       15445656  [C (java.base@17.0.15)
  28:        878327       14053232  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  29:        566335       13592040  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  30:        225741       12641496  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        201084       11260704  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        280130       11205200  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        262869       10514760  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        622770        9964320  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d8de18 (minecraft@1.20.1)
  36:        618924        9902784  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  37:        201083        9651984  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        395768        9498432  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  39:        294365        9419680  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  40:        175238        9099184  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  41:        160224        8972544  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
