521049:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5142702      713887888  [B (java.base@17.0.15)
   2:       2533951      391490352  [I (java.base@17.0.15)
   3:       3970932      340361624  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3713455      178245840  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4497892      143932544  java.util.HashMap$Node (java.base@17.0.15)
   6:       4719153      113259672  java.lang.String (java.base@17.0.15)
   7:       1981114       95093472  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3132335       75176040  java.util.ArrayList (java.base@17.0.15)
   9:        605912       63014848  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        613361       58882656  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        860404       55065856  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        262288       49600992  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1009576       48459648  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        978565       46971120  java.util.HashMap (java.base@17.0.15)
  15:       1253661       40117152  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:       1101835       26444040  org.joml.Vector3f (org.joml@1.10.5)
  17:        540834       25960032  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  18:        603263       24130520  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  19:         80130       22989136  [J (java.base@17.0.15)
  20:        821360       19712640  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:        610210       19526720  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        784802       18835248  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        415534       16621360  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  24:        686560       16477440  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  25:        681470       16355280  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  26:        135476       15771136  java.lang.Class (java.base@17.0.15)
  27:          1593       15297968  [C (java.base@17.0.15)
  28:        318276       15277248  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  29:        877629       14042064  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        223907       12538792  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        200459       11225704  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        279072       11162880  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        260330       10413200  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        618129        9890064  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  36:        613360        9813760  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d91cb8 (minecraft@1.20.1)
  37:        200458        9621984  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        173755        9050984  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  39:        282644        9044608  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  40:        279073        8930336  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  41:        158745        8889720  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  42:        156846        8783376  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  43:        342650        8223600  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  44:        202949        8091224  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  45:        163019        7824912  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  46:        318140        7635360  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  47:        273841        6572184  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  48:        205340        6570880  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  49:         96797        6512520  [D (java.base@17.0.15)
  50:        257784        6186816  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  51:        147504        5900160  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  52:        102584        5744704  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  53:        140698        5627920  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  54:         99428        5567968  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  55:        226678        5440272  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  56:        141864        4974088  [F (java.base@17.0.15)
  57:        206272        4950528  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  58:        205340        4928160  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  59:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  60:        101474        4870752  java.lang.invoke.MemberName (java.base@17.0.15)
  61:        299887        4798192  java.util.concurrent.Semaphore (java.base@17.0.15)
  62:        114031        4561240  java.util.EnumMap (java.base@17.0.15)
  63:        279419        4470704  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  64:        110077        4403080  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  65:         48922        4305136  java.lang.reflect.Method (java.base@17.0.15)
  66:          2036        4280960  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  67:         58881        4239432  java.lang.reflect.Constructor (java.base@17.0.15)
  68:         75448        4225088  java.util.LinkedHashMap (java.base@17.0.15)
  69:        121417        4208656  [Ljava.util.Map$Entry; (java.base@17.0.15)
  70:         19215        4145144  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  71:        128352        4107264  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  72:         63645        4073280  java.lang.Class$ReflectionData (java.base@17.0.15)
  73:        251170        4018720  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  74:         98357        3934280  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
  75:         81103        3892944  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  76:        120067        3842144  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  77:         66742        3737552  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  78:        153668        3688032  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  79:         89939        3597560  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  80:         21345        3585960  com.github.alexthe666.citadel.client.model.AdvancedModelBox (citadel@2.6.3)
  81:         80104        3449200  [Lnet.minecraft.world.item.ItemStack; (minecraft@1.20.1)
  82:        140698        3376752  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
  83:        104790        3353280  org.objectweb.asm.Type (org.objectweb.asm@9.8)
  84:        103712        3318784  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData (org.spongepowered.mixin)
  85:        205230        3283680  net.minecraft.nbt.StringTag (minecraft@1.20.1)
  86:         67001        3216048  org.objectweb.asm.tree.LineNumberNode (org.objectweb.asm.tree@9.8)
  87:        200359        3205744  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  88:          5744        3170688  com.github.benmanes.caffeine.cache.MpscGrowableArrayQueue (com.github.benmanes.caffeine@3.2.1)
  89:           328        3141096  [Lnet.minecraft.world.level.block.state.BlockState; (minecraft@1.20.1)
  90:        128352        3080448  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$TexturedQuad (citadel@2.6.3)
  91:         76478        3059120  net.minecraft.world.item.crafting.Ingredient (minecraft@1.20.1)
  92:         74737        2989480  org.embeddedt.modernfix.forge.recipe.IngredientItemStacksSoftReference (modernfix@5.27.12+mc1.20.1)
  93:         87428        2797696  net.minecraft.client.renderer.block.model.Variant (minecraft@1.20.1)
  94:         34230        2738400  me.jellysquid.mods.sodium.client.render.immediate.model.ModelCuboid (embeddium@0.3.31+mc1.20.1)
  95:        121237        2730272  [Ljava.lang.String; (java.base@17.0.15)
  96:         68122        2724880  java.lang.ref.SoftReference (java.base@17.0.15)
  97:        112990        2711760  net.minecraft.client.gui.font.providers.UnihexProvider$Glyph (minecraft@1.20.1)
  98:         56370        2705760  java.lang.invoke.MethodHandleImpl$CountingWrapper (java.base@17.0.15)
  99:         47545        2662520  net.minecraft.client.renderer.block.model.BlockModel (minecraft@1.20.1)
 100:         33247        2659760  net.minecraft.client.model.geom.ModelPart (minecraft@1.20.1)
 101:         43870        2456720  dev.emi.emi.jemi.JemiRecipe (emi@1.1.22+1.20.1+forge)
 102:        148554        2376864  com.google.gson.JsonObject (com.google.gson@2.10)
 103:         58746        2349840  org.objectweb.asm.tree.InsnNode (org.objectweb.asm.tree@9.8)
 104:         95542        2293008  it.unimi.dsi.fastutil.doubles.DoubleArrayList (it.unimi.dsi.fastutil@8.5.9)
 105:         30931        2227032  java.lang.reflect.Field (java.base@17.0.15)
 106:         44439        2133072  org.spongepowered.asm.mixin.transformer.ClassInfo$Field (org.spongepowered.mixin)
 107:         86883        2085192  net.minecraftforge.forgespi.language.ModFileScanData$ClassData (net.minecraftforge.forgespi@7.0.1)
 108:          5403        2058808  [Lnet.minecraft.world.phys.shapes.VoxelShape; (minecraft@1.20.1)
 109:         42206        2025888  it.unimi.dsi.fastutil.objects.ObjectOpenHashSet (it.unimi.dsi.fastutil@8.5.9)
 110:         49030        1961200  java.lang.invoke.MethodType (java.base@17.0.15)
 111:         78679        1954248  [Lnet.minecraft.world.item.crafting.Ingredient$Value; (minecraft@1.20.1)
 112:         81014        1944336  net.minecraft.client.resources.model.Material (minecraft@1.20.1)
 113:         47545        1901800  net.minecraftforge.client.model.geometry.BlockGeometryBakingContext (forge@47.4.13)
 114:         59224        1895168  com.mojang.serialization.MapCodec$1 (datafixerupper@6.0.8)
 115:         78853        1892472  net.minecraftforge.registries.ForgeRegistry$OverrideOwner (forge@47.4.13)
 116:         29433        1883712  java.util.concurrent.ConcurrentHashMap (java.base@17.0.15)
 117:         38899        1867152  org.objectweb.asm.Frame (org.objectweb.asm@9.8)
 118:         69967        1853080  [Ljava.lang.Class; (java.base@17.0.15)
 119:         57253        1832096  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17.0.15)
 120:         56725        1815200  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.15)
 121:         73743        1769832  java.lang.invoke.ResolvedMethodName (java.base@17.0.15)
 122:         54249        1762944  [[I (java.base@17.0.15)
