538206:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5532200      782259504  [B (java.base@17.0.15)
   2:       2561484      410206928  [I (java.base@17.0.15)
   3:       3994734      342343872  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3747048      179858304  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4519479      144623328  java.util.HashMap$Node (java.base@17.0.15)
   6:       4772177      114532248  java.lang.String (java.base@17.0.15)
   7:       2009295       96446160  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3156330       75751920  java.util.ArrayList (java.base@17.0.15)
   9:        607542       63184368  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        623843       59888928  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        862570       55204480  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        265232       52491280  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1012466       48598368  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        994279       47725392  java.util.HashMap (java.base@17.0.15)
  15:       1257309       40233888  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:        940279       37611160  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  17:        751715       30068600  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  18:       1105260       26526240  org.joml.Vector3f (org.joml@1.10.5)
  19:        547137       26262576  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  20:         85280       24947056  [J (java.base@17.0.15)
  21:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  22:        611902       19580864  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  23:        791159       18987816  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  24:        689412       16545888  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  25:        137621       16015712  java.lang.Class (java.base@17.0.15)
  26:        322226       15466848  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  27:          1606       15445784  [C (java.base@17.0.15)
  28:        601177       14428248  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  29:        879780       14076480  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        225785       12643960  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        201093       11261208  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        280130       11205200  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  34:        262924       10516960  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        623842        9981472  net.minecraft.world.item.ItemStack$$Lambda$2526/0x0000000800d8f7b8 (minecraft@1.20.1)
  36:        618909        9902544  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  37:        201092        9652416  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  38:        286139        9156448  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  39:        175247        9099496  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  40:        160261        8974616  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  41:        280131        8964192  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  42:        158520        8877120  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  43:        361015        8664360  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  44:        343262        8238288  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  45:        203583        8115464  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  46:        164553        7898544  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  47:        318269        7638456  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  48:        205376        6572032  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  49:         97517        6561384  [D (java.base@17.0.15)
  50:        260246        6245904  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  51:        148993        5959720  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  52:        105068        5883808  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  53:        102925        5763800  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  54:        143586        5743440  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  55:        228564        5485536  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  56:        144790        5241256  [F (java.base@17.0.15)
  57:        103412        4963776  java.lang.invoke.MemberName (java.base@17.0.15)
  58:        206382        4953168  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  59:        205376        4929024  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  60:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  61:        300945        4815120  java.util.concurrent.Semaphore (java.base@17.0.15)
  62:        114728        4589120  java.util.EnumMap (java.base@17.0.15)
  63:        114391        4575640  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  64:        280466        4487456  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  65:         19273        4418344  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  66:         60061        4324392  java.lang.reflect.Constructor (java.base@17.0.15)
  67:         49036        4315168  java.lang.reflect.Method (java.base@17.0.15)
  68:          2084        4284800  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  69:         76392        4277952  java.util.LinkedHashMap (java.base@17.0.15)
  70:        122899        4259080  [Ljava.util.Map$Entry; (java.base@17.0.15)
  71:         64865        4151360  java.lang.Class$ReflectionData (java.base@17.0.15)
  72:        128352        4107264  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  73:        254133        4066128  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  74:         98580        3943200  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
  75:        121570        3890240  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  76:         81026        3889248  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  77:         68863        3856328  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  78:        155592        3734208  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  79:         92705        3708200  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  80:         21345        3585960  com.github.alexthe666.citadel.client.model.AdvancedModelBox (citadel@2.6.3)
  81:         80638        3488968  [Lnet.minecraft.world.item.ItemStack; (minecraft@1.20.1)
