550837:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       5204256      718632448  [B (java.base@17.0.15)
   2:       2559853      409940368  [I (java.base@17.0.15)
   3:       3990552      341800096  [Ljava.lang.Object; (java.base@17.0.15)
   4:       3741339      179584272  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4516098      144515136  java.util.HashMap$Node (java.base@17.0.15)
   6:       4777474      114659376  java.lang.String (java.base@17.0.15)
   7:       2004707       96225936  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3154479       75707496  java.util.ArrayList (java.base@17.0.15)
   9:        607182       63146928  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  10:        621887       59701152  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        861215       55117760  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  12:        264365       49862576  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1012361       48593328  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  14:        991146       47575008  java.util.HashMap (java.base@17.0.15)
  15:       1256523       40208736  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:       1104778       26514672  org.joml.Vector3f (org.joml@1.10.5)
  17:        545487       26183376  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  18:         81608       24807872  [J (java.base@17.0.15)
  19:        607739       24309560  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  20:        821504       19716096  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  21:        611542       19569344  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  22:        790098       18962352  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  23:        708170       16996080  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  24:        418918       16756720  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  25:        688986       16535664  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  26:        137904       16049168  java.lang.Class (java.base@17.0.15)
  27:        321482       15431136  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  28:          1597       15367720  [C (java.base@17.0.15)
  29:        878437       14054992  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        225591       12633096  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        201072       11260032  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
