31871:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       7065705      819282504  [B (java.base@17.0.15)
   2:       7235317      566795928  [Ljava.lang.Object; (java.base@17.0.15)
   3:       3147893      497785064  [I (java.base@17.0.15)
   4:       4454921      213836208  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4251756      204084288  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   6:       4020034      192961632  java.util.HashMap (java.base@17.0.15)
   7:       5492756      175768192  java.util.HashMap$Node (java.base@17.0.15)
   8:       6574865      157796760  java.lang.String (java.base@17.0.15)
   9:       1156274      111002304  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  10:       4183035      100392840  java.util.ArrayList (java.base@17.0.15)
  11:        720690       74951760  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  12:        384081       72000440  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  13:       1103081       70597184  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  14:       1214970       58318560  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  15:       1497076       47906432  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:       1768263       42438312  net.minecraft.core.NonNullList (minecraft@1.20.1)
  17:        161149       42048784  [D (java.base@17.0.15)
  18:       1027618       41104720  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  19:        839308       40286784  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  20:       1673727       40169448  java.util.Arrays$ArrayList (java.base@17.0.15)
  21:        559187       31314472  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  22:       1174952       28198848  org.joml.Vector3f (org.joml@1.10.5)
  23:         95853       28176912  [J (java.base@17.0.15)
  24:       1668644       26698304  java.util.HashSet (java.base@17.0.15)
  25:       1107000       26568000  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  26:        783932       25085824  net.minecraftforge.common.util.LazyOptional (forge@47.4.13)
  27:        719229       23015328  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  28:        478981       22991088  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  29:        552320       22092800  net.minecraft.world.inventory.Slot (minecraft@1.20.1)
  30:        887250       21294000  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  31:        846200       20308800  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  32:        841565       20197560  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  33:        498763       19950520  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  34:        303790       19442560  top.theillusivec4.curios.common.inventory.CurioStacksHandler (curios@5.14.1+1.20.1)
  35:       1156273       18500368  net.minecraft.world.item.ItemStack$$Lambda$2527/0x0000000800d99dd0 (minecraft@1.20.1)
  36:       1121298       17940768  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  37:        424402       16976080  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  38:        142751       16614064  java.lang.Class (java.base@17.0.15)
  39:          1602       15404728  [C (java.base@17.0.15)
  40:        308015       14784720  com.google.common.collect.HashMultimap (com.google.common@31.1-jre)
  41:        607580       14581920  top.theillusivec4.curios.common.inventory.DynamicStackHandler (curios@5.14.1+1.20.1)
  42:         13807       14138368  net.minecraft.client.player.RemotePlayer (minecraft@1.20.1)
  43:        250654       14036624  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  44:        862248       13795968  java.lang.Object (java.base@17.0.15)
  45:        562059       13489416  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  46:        240486       13467216  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  47:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  48:        507568       12181632  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  49:        212376       11893056  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  50:        240412       11770200  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  51:        288666       11546640  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  52:        240485       11543280  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  53:        665909       10654544  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  54:        216814       10407072  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  55:        313043       10017376  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  56:        307401        9836832  net.minecraft.network.syncher.SynchedEntityData$DataItem (minecraft@1.20.1)
  57:        244155        9736920  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  58:        288667        9237344  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  59:        220582        8823280  java.util.EnumMap (java.base@17.0.15)
  60:        353644        8487456  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  61:        200065        8002600  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  62:        332366        7976784  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  63:        326985        7847640  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  64:        138351        7747656  java.util.LinkedHashMap (java.base@17.0.15)
  65:        303790        7290960  top.theillusivec4.curios.common.inventory.CurioStacksHandler$$Lambda$61446/0x0000000806c092c0 (curios@5.14.1+1.20.1)
  66:        303790        7290960  top.theillusivec4.curios.common.inventory.CurioStacksHandler$$Lambda$61447/0x0000000806c09508 (curios@5.14.1+1.20.1)
  67:        211550        6769600  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  68:        160297        6411880  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  69:        114005        6384280  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  70:        112298        6288688  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  71:        374747        5995952  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  72:        241751        5802024  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  73:        177982        5695424  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  74:        161476        5570584  [F (java.base@17.0.15)
  75:         92772        5526128  [Lnet.minecraft.world.item.ItemStack; (minecraft@1.20.1)
  76:        159882        5484248  [Ljava.util.Map$Entry; (java.base@17.0.15)
  77:        155195        5421744  [Ljava.lang.String; (java.base@17.0.15)
  78:          2236        5347584  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  79:        329289        5268624  net.minecraft.nbt.StringTag (minecraft@1.20.1)
  80:        107214        5146272  java.lang.invoke.MemberName (java.base@17.0.15)
  81:        127910        5116400  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  82:        212700        5104800  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  83:        211550        5077200  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  84:        309481        4951696  java.util.concurrent.Semaphore (java.base@17.0.15)
  85:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  86:         20954        4709848  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  87:        193328        4639872  org.apache.commons.lang3.tuple.ImmutableTriple (org.apache.commons.lang3@3.12.0)
  88:        289002        4624032  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  89:         96129        4614192  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  90:         62363        4490136  java.lang.reflect.Constructor (java.base@17.0.15)
  91:        140201        4486432  net.minecraft.client.renderer.block.model.Variant (minecraft@1.20.1)
  92:         78940        4420640  net.minecraft.client.renderer.block.model.BlockModel (minecraft@1.20.1)
  93:        275969        4415504  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  94:         49893        4390584  java.lang.reflect.Method (java.base@17.0.15)
  95:         67242        4303488  java.lang.Class$ReflectionData (java.base@17.0.15)
  96:         76802        4300912  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  97:        103560        4142400  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  98:        128352        4107264  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  99:        168529        4044696  net.minecraft.client.resources.model.Material (minecraft@1.20.1)
 100:         98893        3955720  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
 101:        241470        3863520  com.google.gson.JsonObject (com.google.gson@2.10)
 102:        160297        3847128  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
 103:        115863        3707616  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData (org.spongepowered.mixin)
 104:         77051        3698448  org.objectweb.asm.tree.LineNumberNode (org.objectweb.asm.tree@9.8)
 105:         21345        3585960  com.github.alexthe666.citadel.client.model.AdvancedModelBox (citadel@2.6.3)
 106:         88769        3550760  net.minecraft.world.item.crafting.Ingredient (minecraft@1.20.1)
 107:        146552        3517248  net.minecraft.util.random.WeightedEntry$Wrapper (minecraft@1.20.1)
 108:        109167        3493344  org.objectweb.asm.Type (org.objectweb.asm@9.8)
 109:         86496        3459840  org.embeddedt.modernfix.forge.recipe.IngredientItemStacksSoftReference (modernfix@5.27.12+mc1.20.1)
 110:         37549        3341744  [Lnet.minecraftforge.common.capabilities.ICapabilityProvider; (forge@47.4.13)
 111:         57144        3200064  dev.emi.emi.jemi.JemiRecipe (emi@1.1.22+1.20.1+forge)
 112:          5744        3170688  com.github.benmanes.caffeine.cache.MpscGrowableArrayQueue (com.github.benmanes.caffeine@3.2.1)
 113:         98757        3160224  com.mojang.serialization.MapCodec$1 (datafixerupper@6.0.8)
 114:         78940        3157600  net.minecraftforge.client.model.geometry.BlockGeometryBakingContext (forge@47.4.13)
 115:           328        3141096  [Lnet.minecraft.world.level.block.state.BlockState; (minecraft@1.20.1)
 116:        128352        3080448  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$TexturedQuad (citadel@2.6.3)
 117:         63207        3033936  it.unimi.dsi.fastutil.objects.ObjectOpenHashSet (it.unimi.dsi.fastutil@8.5.9)
 118:         73179        2927160  dev.emi.emi.api.stack.FluidEmiStack (emi@1.1.22+1.20.1+forge)
 119:        180267        2884272  java.lang.Float (java.base@17.0.15)
 120:         71746        2869840  java.lang.ref.SoftReference (java.base@17.0.15)
 121:        118955        2854920  net.minecraftforge.registries.ForgeRegistry$OverrideOwner (forge@47.4.13)
 122:        118619        2846856  it.unimi.dsi.fastutil.doubles.DoubleArrayList (it.unimi.dsi.fastutil@8.5.9)
 123:         35265        2821200  me.jellysquid.mods.sodium.client.render.immediate.model.ModelCuboid (embeddium@0.3.31+mc1.20.1)
 124:         13808        2761600  org.embeddedt.modernfix.forge.capability.CapabilityDispatcher$Generated$5/0x0000000806b70000 (modernfix@5.27.12+mc1.20.1)
 125:         34401        2752080  net.minecraft.client.model.geom.ModelPart (minecraft@1.20.1)
 126:         37549        2729440  [Lnet.minecraftforge.common.util.INBTSerializable; (forge@47.4.13)
 127:        112990        2711760  net.minecraft.client.gui.font.providers.UnihexProvider$Glyph (minecraft@1.20.1)
 128:         56382        2706336  java.lang.invoke.MethodHandleImpl$CountingWrapper (java.base@17.0.15)
 129:         67045        2681800  org.objectweb.asm.tree.InsnNode (org.objectweb.asm.tree@9.8)
 130:        167198        2675168  java.lang.Integer (java.base@17.0.15)
 131:         55232        2651136  net.minecraft.world.inventory.InventoryMenu$1 (minecraft@1.20.1)
 132:         79291        2537312  java.util.LinkedList (java.base@17.0.15)
 133:         12997        2380488  [Lnet.minecraft.world.phys.shapes.VoxelShape; (minecraft@1.20.1)
 134:         49062        2354976  org.spongepowered.asm.mixin.transformer.ClassInfo$Field (org.spongepowered.mixin)
 135:         71068        2300928  [[I (java.base@17.0.15)
 136:         91046        2283784  [Lnet.minecraft.world.item.crafting.Ingredient$Value; (minecraft@1.20.1)
 137:         46742        2243616  com.google.common.cache.LocalCache$StrongAccessEntry (com.google.common@31.1-jre)
 138:         30973        2230056  java.lang.reflect.Field (java.base@17.0.15)
 139:         90604        2174496  net.minecraftforge.forgespi.language.ModFileScanData$ClassData (net.minecraftforge.forgespi@7.0.1)
 140:        134419        2150704  net.minecraft.client.renderer.block.model.MultiVariant (minecraft@1.20.1)
 141:         44743        2147664  org.objectweb.asm.Frame (org.objectweb.asm@9.8)
 142:         88089        2114136  java.util.Collections$UnmodifiableRandomAccessList (java.base@17.0.15)
 143:         65901        2108832  net.minecraft.network.chat.MutableComponent (minecraft@1.20.1)
 144:         13808        2098816  com.aetherteam.aether.capability.player.AetherPlayerCapability (aether@1.20.1-1.5.2-neoforge)
 145:         51316        2052640  java.lang.invoke.MethodType (java.base@17.0.15)
 146:         19589        2037256  net.minecraft.world.level.block.state.BlockBehaviour$Properties (minecraft@1.20.1)
 147:         62584        2002688  com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueEntry (com.google.common@31.1-jre)
 148:         62584        2002688  com.google.common.collect.MapMakerInternalMap$WeakValueReferenceImpl (com.google.common@31.1-jre)
 149:         31292        2002688  java.util.concurrent.ConcurrentHashMap (java.base@17.0.15)
 150:         60591        1938912  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17.0.15)
 151:        120567        1929072  com.mojang.datafixers.util.Either$Left (datafixerupper@6.0.8)
 152:         60154        1924928  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.15)
 153:         71756        1900144  [Ljava.lang.Class; (java.base@17.0.15)
 154:         33863        1896328  net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape (minecraft@1.20.1)
 155:        118456        1895296  org.apache.commons.lang3.mutable.MutableObject (org.apache.commons.lang3@3.12.0)
 156:        118080        1889280  com.google.gson.internal.LazilyParsedNumber (com.google.gson@2.10)
 157:         13808        1877888  net.mcreator.protectionpixel.network.ProtectionPixelModVariables$PlayerVariables (protection_pixel@2.2.1)
 158:         77755        1866120  java.lang.invoke.ResolvedMethodName (java.base@17.0.15)
 159:         77622        1862928  cpw.mods.modlauncher.TransformerAuditTrail$TransformerActivity (cpw.mods.modlauncher@10.0.9)
 160:         56563        1810016  java.lang.invoke.DirectMethodHandle (java.base@17.0.15)
 161:         56022        1792704  it.unimi.dsi.fastutil.objects.Object2IntRBTreeMap$Entry (it.unimi.dsi.fastutil@8.5.9)
 162:         55232        1767424  net.bettercombat.client.animation.PoseSubStack (bettercombat@1.9.0+1.20.1)
 163:         15693        1757616  net.minecraft.world.item.BlockItem (minecraft@1.20.1)
 164:         30477        1706712  net.minecraft.network.chat.Style (minecraft@1.20.1)
 165:         35265        1692720  net.minecraft.client.model.geom.ModelPart$Cube (minecraft@1.20.1)
 166:         69040        1656960  dev.kosmx.playerAnim.api.layered.ModifierLayer (playeranimator@1.0.2-rc1+1.20)
 167:         69040        1656960  dev.kosmx.playerAnim.api.layered.modifier.MirrorModifier (playeranimator@1.0.2-rc1+1.20)
 168:         69040        1656960  dev.kosmx.playerAnim.core.util.Pair (playeranimator@1.0.2-rc1+1.20)
 169:         13808        1656960  net.dyrohc.cravings.network.CravingsModVariables$PlayerVariables (cravings@1.2.1)
 170:         34246        1643808  org.objectweb.asm.tree.FieldInsnNode (org.objectweb.asm.tree@9.8)
 171:         51346        1643072  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.15)
 172:         33790        1621920  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@17.0.15)
 173:         33135        1590480  java.util.TreeMap (java.base@17.0.15)
 174:         98927        1582832  net.minecraft.nbt.FloatTag (minecraft@1.20.1)
 175:         39434        1577360  org.objectweb.asm.tree.LocalVariableNode (org.objectweb.asm.tree@9.8)
 176:         64149        1539576  slimeknights.tconstruct.library.modifiers.ModifierId (tconstruct@3.11.2.166)
 177:         95679        1530864  net.minecraft.world.item.crafting.Ingredient$ItemValue (minecraft@1.20.1)
 178:         63568        1525632  slimeknights.tconstruct.library.modifiers.ModifierEntry (tconstruct@3.11.2.166)
 179:         63324        1519776  slimeknights.tconstruct.library.modifiers.util.LazyModifier (tconstruct@3.11.2.166)
 180:         61114        1466736  dev.emi.emi.jemi.impl.JemiRecipeSlot$IngredientRenderer (emi@1.1.22+1.20.1+forge)
 181:         30554        1466592  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.15)
 182:         60821        1459704  net.minecraft.resources.ResourceKey (minecraft@1.20.1)
 183:         60821        1459704  net.minecraft.resources.ResourceKey$InternKey (minecraft@1.20.1)
 184:         60781        1458968  [Ljava.lang.reflect.Constructor; (java.base@17.0.15)
 185:         45071        1442272  java.util.Hashtable$Entry (java.base@17.0.15)
 186:         44765        1432480  net.minecraftforge.registries.RegistryObject (forge@47.4.13)
 187:         29756        1428288  xfacthd.framedblocks.common.compat.emi.FramingSawEmiRecipe (framedblocks@9.4.3)
 188:         44422        1421504  net.minecraftforge.registries.RegistryObject$1 (forge@47.4.13)
 189:         35265        1410472  [Lnet.minecraft.client.model.geom.ModelPart$Polygon; (minecraft@1.20.1)
 190:         34825        1393000  net.minecraft.client.renderer.block.model.BlockElement (minecraft@1.20.1)
 191:         57648        1383552  software.bernie.geckolib.cache.object.GeoVertex (geckolib@4.8.3)
 192:         57144        1371456  dev.emi.emi.jemi.impl.JemiRecipeLayoutBuilder (emi@1.1.22+1.20.1+forge)
 193:         42684        1365888  java.util.ImmutableCollections$MapN (java.base@17.0.15)
 194:         28000        1344000  it.unimi.dsi.fastutil.objects.Object2DoubleArrayMap (it.unimi.dsi.fastutil@8.5.9)
 195:         41974        1343168  net.minecraft.client.resources.model.WeightedBakedModel (minecraft@1.20.1)
 196:         41863        1339616  org.openjdk.nashorn.internal.runtime.PropertyHashMap$Element (org.openjdk.nashorn)
 197:         55602        1334448  team.lodestar.lodestone.systems.capability.LodestoneCapabilityProvider (lodestone@1.20.1-1.6.4.1)
 198:          5744        1332608  com.github.benmanes.caffeine.cache.SSA (com.github.benmanes.caffeine@3.2.1)
 199:         23706        1327536  org.openjdk.nashorn.internal.runtime.ScriptFunction (org.openjdk.nashorn)
 200:         23436        1312416  moffy.ticex.client.render.shader.ShaderToolQuad$Material (ticex@0.5.1)
 201:         54229        1301496  org.apache.commons.lang3.tuple.ImmutablePair (org.apache.commons.lang3@3.12.0)
 202:         54009        1296216  java.util.Collections$SynchronizedRandomAccessList (java.base@17.0.15)
 203:         40267        1288544  net.minecraft.world.phys.shapes.ArrayVoxelShape (minecraft@1.20.1)
 204:         10050        1286400  org.spongepowered.asm.mixin.transformer.MixinInfo$MixinMethodNode (org.spongepowered.mixin)
 205:         31989        1279560  org.openjdk.nashorn.internal.runtime.CompiledFunction (org.openjdk.nashorn)
 206:         53139        1275336  dev.emi.emi.jemi.impl.JemiRecipeSlot$OffsetDrawable (emi@1.1.22+1.20.1+forge)
 207:         78940        1263040  net.minecraftforge.client.model.geometry.BlockGeometryBakingContext$VisibilityData (forge@47.4.13)
 208:         39271        1256672  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@17.0.15)
 209:         77920        1246720  com.google.common.collect.RegularImmutableList (com.google.common@31.1-jre)
 210:         13808        1215104  net.minecraft.world.inventory.InventoryMenu (minecraft@1.20.1)
 211:         37549        1201568  net.minecraftforge.common.capabilities.CapabilityDispatcher (forge@47.4.13)
 212:           553        1163512  [Lnet.minecraftforge.eventbus.ListenerList$ListenerListInst; (net.minecraftforge.eventbus)
 213:         18115        1159360  net.minecraft.world.phys.AABB (minecraft@1.20.1)
 214:          7920        1140480  me.jellysquid.mods.sodium.client.render.chunk.RenderSection (embeddium@0.3.31+mc1.20.1)
 215:         35246        1127872  java.util.Collections$UnmodifiableMap (java.base@17.0.15)
 216:         46685        1120440  com.mojang.serialization.Codec$$Lambda$1300/0x00000008008090f0 (datafixerupper@6.0.8)
 217:         46685        1120440  com.mojang.serialization.codecs.FieldDecoder (datafixerupper@6.0.8)
 218:         46685        1120440  com.mojang.serialization.codecs.FieldEncoder (datafixerupper@6.0.8)
 219:         46321        1111704  net.p3pp3rf1y.sophisticatedstorage.client.render.BarrelDynamicModelBase$BarrelModelPartDefinition (sophisticatedstorage@1.4.39.1666)
 220:         69410        1110560  com.google.common.collect.SingletonImmutableList (com.google.common@31.1-jre)
 221:         27271        1090840  dev.emi.emi.api.stack.TagEmiIngredient (emi@1.1.22+1.20.1+forge)
 222:         67721        1083536  java.util.HashMap$KeySet (java.base@17.0.15)
 223:         26688        1067520  org.objectweb.asm.tree.JumpInsnNode (org.objectweb.asm.tree@9.8)
 224:         44047        1057128  org.objectweb.asm.Edge (org.objectweb.asm@9.8)
 225:         25826        1033040  net.minecraft.world.phys.Vec3 (minecraft@1.20.1)
 226:         15968        1021952  slimeknights.tconstruct.library.tools.nbt.ToolStack (tconstruct@3.11.2.166)
