36480:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6841877      856353432  [B (java.base@17.0.15)
   2:       6668618      505950672  [Ljava.lang.Object; (java.base@17.0.15)
   3:       3014146      485891072  [I (java.base@17.0.15)
   4:       4281006      205488288  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       3599845      172792560  java.util.HashMap (java.base@17.0.15)
   6:       5102799      163289568  java.util.HashMap$Node (java.base@17.0.15)
   7:       6006483      144155592  java.lang.String (java.base@17.0.15)
   8:       2278656      109375488  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   9:       3719918       89278032  java.util.ArrayList (java.base@17.0.15)
  10:        768649       73790304  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  11:        666949       69362696  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  12:       1072871       68663744  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  13:        371069       64350760  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  14:       1145540       54985920  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  15:       1338447       53537880  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  16:       1380833       44186656  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  17:       1772129       42531096  net.minecraft.core.NonNullList (minecraft@1.20.1)
  18:        139959       41277472  [D (java.base@17.0.15)
  19:       1677073       40249752  java.util.Arrays$ArrayList (java.base@17.0.15)
  20:        729483       35015184  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  21:        831349       33253960  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  22:       1167450       28018800  org.joml.Vector3f (org.joml@1.10.5)
  23:       1671480       26743680  java.util.HashSet (java.base@17.0.15)
  24:         81008       25890088  [J (java.base@17.0.15)
  25:        785495       25135840  net.minecraftforge.common.util.LazyOptional (forge@47.4.13)
  26:        943665       22647960  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  27:        553480       22139200  net.minecraft.world.inventory.Slot (minecraft@1.20.1)
  28:        670708       21462656  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  29:        846200       20308800  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  30:        304428       19483392  top.theillusivec4.curios.common.inventory.CurioStacksHandler (curios@5.14.1+1.20.1)
  31:        764632       18351168  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  32:        365845       17560560  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  33:       1091100       17457600  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  34:        142235       16553760  java.lang.Class (java.base@17.0.15)
  35:        666365       15992760  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  36:          1598       15351448  [C (java.base@17.0.15)
  37:        308653       14815344  com.google.common.collect.HashMultimap (com.google.common@31.1-jre)
  38:        608856       14612544  top.theillusivec4.curios.common.inventory.DynamicStackHandler (curios@5.14.1+1.20.1)
  39:        364519       14580760  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  40:         13836       14168064  net.minecraft.client.player.RemotePlayer (minecraft@1.20.1)
  41:        249383       13965448  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  42:        864338       13829408  java.lang.Object (java.base@17.0.15)
  43:        226609       12690104  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  44:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  45:        768648       12298368  net.minecraft.world.item.ItemStack$$Lambda$2527/0x0000000800da3a78 (minecraft@1.20.1)
  46:        212095       11877320  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  47:        287560       11502400  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  48:        473630       11367120  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  49:        222491       11195168  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  50:        226608       10877184  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  51:        184634       10339504  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  52:        644866       10317856  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  53:        308000        9856000  net.minecraft.network.syncher.SynchedEntityData$DataItem (minecraft@1.20.1)
  54:        301352        9643264  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  55:        287561        9201952  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  56:        383201        9196824  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  57:        230269        9181480  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  58:        189057        9074736  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  59:        352799        8467176  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  60:        195930        7837200  java.util.EnumMap (java.base@17.0.15)
  61:        137951        7725256  java.util.LinkedHashMap (java.base@17.0.15)
  62:        304428        7306272  top.theillusivec4.curios.common.inventory.CurioStacksHandler$$Lambda$61039/0x0000000806b7e8f0 (curios@5.14.1+1.20.1)
  63:        304428        7306272  top.theillusivec4.curios.common.inventory.CurioStacksHandler$$Lambda$61040/0x0000000806b7eb38 (curios@5.14.1+1.20.1)
  64:        182115        7284600  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  65:        298785        7170840  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  66:        211550        6769600  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  67:        113956        6381536  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  68:        112230        6284880  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  69:        156114        6244560  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  70:        252256        6054144  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  71:        240906        5781744  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  72:        157291        5436384  [F (java.base@17.0.15)
  73:        155119        5422848  [Ljava.lang.String; (java.base@17.0.15)
  74:        334032        5344512  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  75:        321717        5147472  net.minecraft.nbt.StringTag (minecraft@1.20.1)
  76:        106702        5121696  java.lang.invoke.MemberName (java.base@17.0.15)
  77:        127852        5114080  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  78:        212700        5104800  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  79:        211550        5077200  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  80:        308375        4934000  java.util.concurrent.Semaphore (java.base@17.0.15)
  81:        141900        4877992  [Ljava.util.Map$Entry; (java.base@17.0.15)
  82:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  83:        193734        4649616  org.apache.commons.lang3.tuple.ImmutableTriple (org.apache.commons.lang3@3.12.0)
  84:        287813        4605008  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  85:         19564        4533480  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  86:         62025        4465800  java.lang.reflect.Constructor (java.base@17.0.15)
  87:         49884        4389792  java.lang.reflect.Method (java.base@17.0.15)
  88:        135654        4340928  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  89:         76754        4298224  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  90:          2104        4287424  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  91:         66899        4281536  java.lang.Class$ReflectionData (java.base@17.0.15)
  92:         88161        4231728  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  93:        103518        4140720  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  94:        128352        4107264  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  95:         92073        4097864  [Lnet.minecraft.world.item.ItemStack; (minecraft@1.20.1)
  96:         98852        3954080  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
  97:        120534        3857088  net.minecraft.client.renderer.block.model.Variant (minecraft@1.20.1)
  98:        237423        3798768  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  99:        156114        3746736  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
 100:        115838        3706816  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData (org.spongepowered.mixin)
 101:         77019        3696912  org.objectweb.asm.tree.LineNumberNode (org.objectweb.asm.tree@9.8)
 102:         21345        3585960  com.github.alexthe666.citadel.client.model.AdvancedModelBox (citadel@2.6.3)
 103:         88070        3522800  net.minecraft.world.item.crafting.Ingredient (minecraft@1.20.1)
 104:        146552        3517248  net.minecraft.util.random.WeightedEntry$Wrapper (minecraft@1.20.1)
 105:        109115        3491680  org.objectweb.asm.Type (org.objectweb.asm@9.8)
 106:         61454        3441424  net.minecraft.client.renderer.block.model.BlockModel (minecraft@1.20.1)
 107:         85797        3431880  org.embeddedt.modernfix.forge.recipe.IngredientItemStacksSoftReference (modernfix@5.27.12+mc1.20.1)
 108:         37604        3348048  [Lnet.minecraftforge.common.capabilities.ICapabilityProvider; (forge@47.4.13)
 109:        202918        3246688  com.google.gson.JsonObject (com.google.gson@2.10)
 110:          5744        3170688  com.github.benmanes.caffeine.cache.MpscGrowableArrayQueue (com.github.benmanes.caffeine@3.2.1)
 111:           328        3141096  [Lnet.minecraft.world.level.block.state.BlockState; (minecraft@1.20.1)
 112:        128352        3080448  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$TexturedQuad (citadel@2.6.3)
 113:         73456        2938240  dev.emi.emi.api.stack.FluidEmiStack (emi@1.1.22+1.20.1+forge)
 114:        180607        2889712  java.lang.Float (java.base@17.0.15)
 115:         71404        2856160  java.lang.ref.SoftReference (java.base@17.0.15)
 116:         35265        2821200  me.jellysquid.mods.sodium.client.render.immediate.model.ModelCuboid (embeddium@0.3.31+mc1.20.1)
 117:        116778        2802672  net.minecraft.client.resources.model.Material (minecraft@1.20.1)
 118:         13837        2767400  org.embeddedt.modernfix.forge.capability.CapabilityDispatcher$Generated$5/0x0000000806aec000 (modernfix@5.27.12+mc1.20.1)
 119:         34401        2752080  net.minecraft.client.model.geom.ModelPart (minecraft@1.20.1)
 120:         37604        2734584  [Lnet.minecraftforge.common.util.INBTSerializable; (forge@47.4.13)
 121:         48628        2723168  dev.emi.emi.jemi.JemiRecipe (emi@1.1.22+1.20.1+forge)
 122:        112990        2711760  net.minecraft.client.gui.font.providers.UnihexProvider$Glyph (minecraft@1.20.1)
 123:         56376        2706048  java.lang.invoke.MethodHandleImpl$CountingWrapper (java.base@17.0.15)
 124:         67031        2681240  org.objectweb.asm.tree.InsnNode (org.objectweb.asm.tree@9.8)
 125:         55348        2656704  net.minecraft.world.inventory.InventoryMenu$1 (minecraft@1.20.1)
 126:         82023        2624736  com.mojang.serialization.MapCodec$1 (datafixerupper@6.0.8)
 127:         79338        2538816  java.util.LinkedList (java.base@17.0.15)
 128:         61454        2458160  net.minecraftforge.client.model.geometry.BlockGeometryBakingContext (forge@47.4.13)
 129:         48771        2341008  org.spongepowered.asm.mixin.transformer.ClassInfo$Field (org.spongepowered.mixin)
 130:         48722        2338656  it.unimi.dsi.fastutil.objects.ObjectOpenHashSet (it.unimi.dsi.fastutil@8.5.9)
 131:         97351        2336424  it.unimi.dsi.fastutil.doubles.DoubleArrayList (it.unimi.dsi.fastutil@8.5.9)
 132:         71054        2300592  [[I (java.base@17.0.15)
 133:         90347        2237704  [Lnet.minecraft.world.item.crafting.Ingredient$Value; (minecraft@1.20.1)
 134:         30973        2230056  java.lang.reflect.Field (java.base@17.0.15)
 135:        137462        2199392  java.lang.Integer (java.base@17.0.15)
 136:         90737        2177688  net.minecraftforge.registries.ForgeRegistry$OverrideOwner (forge@47.4.13)
 137:         90554        2173296  net.minecraftforge.forgespi.language.ModFileScanData$ClassData (net.minecraftforge.forgespi@7.0.1)
 138:         44724        2146752  org.objectweb.asm.Frame (org.objectweb.asm@9.8)
 139:          7106        2127408  [Lnet.minecraft.world.phys.shapes.VoxelShape; (minecraft@1.20.1)
 140:         13837        2103224  com.aetherteam.aether.capability.player.AetherPlayerCapability (aether@1.20.1-1.5.2-neoforge)
 141:         86280        2070720  java.util.Collections$UnmodifiableRandomAccessList (java.base@17.0.15)
 142:         63906        2044992  net.minecraft.network.chat.MutableComponent (minecraft@1.20.1)
 143:         51059        2042360  java.lang.invoke.MethodType (java.base@17.0.15)
 144:         60267        1928544  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17.0.15)
 145:         59817        1914144  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.15)
 146:         29885        1912640  java.util.concurrent.ConcurrentHashMap (java.base@17.0.15)
 147:        118667        1898672  org.apache.commons.lang3.mutable.MutableObject (org.apache.commons.lang3@3.12.0)
 148:         71565        1895432  [Ljava.lang.Class; (java.base@17.0.15)
 149:         13837        1881832  net.mcreator.protectionpixel.network.ProtectionPixelModVariables$PlayerVariables (protection_pixel@2.2.1)
 150:         77545        1861080  cpw.mods.modlauncher.TransformerAuditTrail$TransformerActivity (cpw.mods.modlauncher@10.0.9)
 151:         77409        1857816  java.lang.invoke.ResolvedMethodName (java.base@17.0.15)
 152:        114752        1836032  net.minecraft.client.renderer.block.model.MultiVariant (minecraft@1.20.1)
 153:         56306        1801792  java.lang.invoke.DirectMethodHandle (java.base@17.0.15)
 154:         55348        1771136  net.bettercombat.client.animation.PoseSubStack (bettercombat@1.9.0+1.20.1)
 155:        108303        1732848  com.google.gson.internal.LazilyParsedNumber (com.google.gson@2.10)
 156:         35265        1692720  net.minecraft.client.model.geom.ModelPart$Cube (minecraft@1.20.1)
 157:        104579        1673264  com.mojang.datafixers.util.Either$Left (datafixerupper@6.0.8)
 158:         69185        1660440  dev.kosmx.playerAnim.api.layered.ModifierLayer (playeranimator@1.0.2-rc1+1.20)
 159:         69185        1660440  dev.kosmx.playerAnim.api.layered.modifier.MirrorModifier (playeranimator@1.0.2-rc1+1.20)
 160:         69185        1660440  dev.kosmx.playerAnim.core.util.Pair (playeranimator@1.0.2-rc1+1.20)
 161:         13837        1660440  net.dyrohc.cravings.network.CravingsModVariables$PlayerVariables (cravings@1.2.1)
 162:         29648        1660288  net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape (minecraft@1.20.1)
 163:         34230        1643040  org.objectweb.asm.tree.FieldInsnNode (org.objectweb.asm.tree@9.8)
 164:         51183        1637856  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.15)
 165:         29117        1630552  net.minecraft.network.chat.Style (minecraft@1.20.1)
 166:         33786        1621728  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@17.0.15)
 167:         33143        1590864  java.util.TreeMap (java.base@17.0.15)
 168:         33107        1589136  com.google.common.cache.LocalCache$StrongAccessEntry (com.google.common@31.1-jre)
 169:         99005        1584080  net.minecraft.nbt.FloatTag (minecraft@1.20.1)
 170:         39418        1576720  org.objectweb.asm.tree.LocalVariableNode (org.objectweb.asm.tree@9.8)
 171:         48474        1551168  com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueEntry (com.google.common@31.1-jre)
 172:         48474        1551168  com.google.common.collect.MapMakerInternalMap$WeakValueReferenceImpl (com.google.common@31.1-jre)
 173:         64266        1542384  slimeknights.tconstruct.library.modifiers.ModifierId (tconstruct@3.11.2.166)
 174:         63685        1528440  slimeknights.tconstruct.library.modifiers.ModifierEntry (tconstruct@3.11.2.166)
 175:         63441        1522584  slimeknights.tconstruct.library.modifiers.util.LazyModifier (tconstruct@3.11.2.166)
 176:         30966        1486368  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.15)
