44257:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6290898      832185440  [B (java.base@17.0.15)
   2:       2980632      482489072  [I (java.base@17.0.15)
   3:       4245649      364597968  [Ljava.lang.Object; (java.base@17.0.15)
   4:       4300736      206435328  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
   5:       4941424      158125568  java.util.HashMap$Node (java.base@17.0.15)
   6:       5463381      131121144  java.lang.String (java.base@17.0.15)
   7:       2273168      109112064  dev.emi.emi.api.stack.ItemEmiStack (emi@1.1.22+1.20.1+forge)
   8:       3396249       81509976  java.util.ArrayList (java.base@17.0.15)
   9:        726088       69704448  net.minecraft.world.item.ItemStack (minecraft@1.20.1)
  10:        666387       69304248  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  11:        301419       57655152  [Ljava.util.HashMap$Node; (java.base@17.0.15)
  12:       1159711       55666128  java.util.HashMap (java.base@17.0.15)
  13:        869723       55662272  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
  14:       1071360       51425280  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  15:       1379665       44149280  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  16:       1024116       40964640  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  17:        726890       34890720  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  18:        823053       32922120  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
  19:       1167171       28012104  org.joml.Vector3f (org.joml@1.10.5)
  20:         85078       24371352  [J (java.base@17.0.15)
  21:        927371       22256904  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  22:        670112       21443584  malte0811.ferritecore.fastmap.immutable.FastMapEntryImmutableMap (ferritecore@6.0.1)
  23:        846200       20308800  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  24:        795693       19096632  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  25:        764034       18336816  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  26:        365116       17525568  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  27:        141929       16518664  java.lang.Class (java.base@17.0.15)
  28:          1604       15494808  [C (java.base@17.0.15)
  29:        887985       14207760  net.minecraft.nbt.CompoundTag (minecraft@1.20.1)
  30:        247380       13853280  dev.emi.emi.jemi.impl.JemiRecipeSlotBuilder (emi@1.1.22+1.20.1+forge)
  31:        513408       12321792  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex (citadel@2.6.3)
  32:        212882       11921392  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
  33:        211346       11835376  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  34:        295047       11801880  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  35:        726087       11617392  net.minecraft.world.item.ItemStack$$Lambda$2527/0x0000000800da2d80 (minecraft@1.20.1)
  36:        284382       11375280  net.minecraftforge.eventbus.ListenerList$ListenerListInst (net.minecraftforge.eventbus)
  37:        184510       10332560  net.minecraft.client.resources.model.SimpleBakedModel (minecraft@1.20.1)
  38:        212881       10218288  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
  39:        626308       10020928  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet (it.unimi.dsi.fastutil@8.5.9)
  40:        194460        9963768  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  41:        302284        9673088  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  42:        382943        9190632  java.util.ImmutableCollections$List12 (java.base@17.0.15)
  43:        284383        9100256  java.util.concurrent.Semaphore$FairSync (java.base@17.0.15)
  44:        188927        9068496  net.minecraft.client.renderer.block.model.ItemTransforms (minecraft@1.20.1)
  45:        215433        8588040  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
  46:        318249        7637976  it.unimi.dsi.fastutil.objects.ObjectArrayList (it.unimi.dsi.fastutil@8.5.9)
  47:        297636        7143264  java.util.ImmutableCollections$ListN (java.base@17.0.15)
  48:        211550        6769600  [Lnet.minecraft.client.model.geom.ModelPart$Vertex; (minecraft@1.20.1)
  49:        168021        6720840  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  50:        273614        6566736  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  51:         98400        6477640  [D (java.base@17.0.15)
  52:        112510        6300560  org.objectweb.asm.Label (org.objectweb.asm@9.8)
  53:        156078        6243120  net.minecraft.client.renderer.block.model.BlockElementFace (minecraft@1.20.1)
  54:        111176        6225856  org.spongepowered.asm.mixin.transformer.ClassInfo$Method (org.spongepowered.mixin)
  55:        250162        6003888  dev.emi.emi.jemi.impl.JemiIngredientAcceptor (emi@1.1.22+1.20.1+forge)
  56:        157242        5435208  [F (java.base@17.0.15)
  57:        333100        5329600  com.google.gson.JsonPrimitive (com.google.gson@2.10)
  58:        106496        5111808  java.lang.invoke.MemberName (java.base@17.0.15)
  59:        212272        5094528  net.minecraft.world.phys.Vec2 (minecraft@1.20.1)
  60:        211550        5077200  net.minecraft.client.model.geom.ModelPart$Polygon (minecraft@1.20.1)
  61:        126713        5068520  java.util.EnumMap (java.base@17.0.15)
  62:        125535        5021400  org.objectweb.asm.tree.VarInsnNode (org.objectweb.asm.tree@9.8)
  63:        206356        4952544  net.minecraft.nbt.ListTag (minecraft@1.20.1)
  64:        305197        4883152  java.util.concurrent.Semaphore (java.base@17.0.15)
  65:        101594        4876512  org.embeddedt.modernfix.render.font.CompactUnihexContents$Shorts (modernfix@5.27.12+mc1.20.1)
  66:        141746        4872272  [Ljava.util.Map$Entry; (java.base@17.0.15)
  67:         82327        4610312  java.util.LinkedHashMap (java.base@17.0.15)
  68:         19842        4558152  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  69:        284707        4555312  java.util.concurrent.atomic.AtomicReference (java.base@17.0.15)
  70:         61853        4453416  java.lang.reflect.Constructor (java.base@17.0.15)
  71:         49796        4382048  java.lang.reflect.Method (java.base@17.0.15)
  72:         91266        4380768  net.fabricmc.fabric.impl.renderer.SpriteFinderImpl$Node (fabric_renderer_api_v1@3.2.2+cf68abbe77)
  73:        135352        4331264  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  74:          2104        4287424  [Lcom.google.common.collect.HashBiMap$BiEntry; (com.google.common@31.1-jre)
  75:         66720        4270080  java.lang.Class$ReflectionData (java.base@17.0.15)
  76:         75288        4216128  org.objectweb.asm.tree.MethodInsnNode (org.objectweb.asm.tree@9.8)
  77:        128352        4107264  [Lcom.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$PositionTextureVertex; (citadel@2.6.3)
  78:         91692        4086872  [Lnet.minecraft.world.item.ItemStack; (minecraft@1.20.1)
  79:        101789        4071560  org.objectweb.asm.tree.LabelNode (org.objectweb.asm.tree@9.8)
  80:         98819        3952760  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
  81:        120002        3840064  net.minecraft.client.renderer.block.model.Variant (minecraft@1.20.1)
  82:        234452        3751232  org.embeddedt.modernfix.resources.PackResourcesCacheEngine$Node (modernfix@5.27.12+mc1.20.1)
  83:        156078        3745872  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
  84:        114835        3674720  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData (org.spongepowered.mixin)
  85:         75736        3635328  org.objectweb.asm.tree.LineNumberNode (org.objectweb.asm.tree@9.8)
  86:         21345        3585960  com.github.alexthe666.citadel.client.model.AdvancedModelBox (citadel@2.6.3)
  87:        146552        3517248  net.minecraft.util.random.WeightedEntry$Wrapper (minecraft@1.20.1)
  88:         87722        3508880  net.minecraft.world.item.crafting.Ingredient (minecraft@1.20.1)
  89:        108523        3472736  org.objectweb.asm.Type (org.objectweb.asm@9.8)
  90:         61366        3436496  net.minecraft.client.renderer.block.model.BlockModel (minecraft@1.20.1)
  91:         85456        3418240  org.embeddedt.modernfix.forge.recipe.IngredientItemStacksSoftReference (modernfix@5.27.12+mc1.20.1)
  92:        208162        3330592  net.minecraft.nbt.StringTag (minecraft@1.20.1)
  93:        202356        3237696  com.google.gson.JsonObject (com.google.gson@2.10)
  94:          5744        3170688  com.github.benmanes.caffeine.cache.MpscGrowableArrayQueue (com.github.benmanes.caffeine@3.2.1)
  95:           328        3141096  [Lnet.minecraft.world.level.block.state.BlockState; (minecraft@1.20.1)
  96:        128352        3080448  com.github.alexthe666.citadel.client.model.TabulaModelRenderUtils$TexturedQuad (citadel@2.6.3)
  97:        126845        2866168  [Ljava.lang.String; (java.base@17.0.15)
  98:         71220        2848800  java.lang.ref.SoftReference (java.base@17.0.15)
  99:         35265        2821200  me.jellysquid.mods.sodium.client.render.immediate.model.ModelCuboid (embeddium@0.3.31+mc1.20.1)
 100:        116667        2800008  net.minecraft.client.resources.model.Material (minecraft@1.20.1)
